loc,subj_idx,rt,angle,response
1,1,5.5115,98.5,1
1,1,3.8024,89.5,2
1,1,5.5102,73.5,2
1,1,3.9114,91.5,1
1,1,4.4048,105.5,1
1,1,2.3901,109.5,1
1,1,5.0218,89,2
1,1,3.3085,95,1
1,1,3.8772,78.5,2
1,1,2.4815,76,2
1,1,4.2041,101.5,1
1,1,3.0408,71,2
1,1,3.8777,80.5,2
1,1,3.9321,81.5,2
1,1,2.7245,105,1
1,1,2.8707,106,1
1,1,2.9724,70.5,2
1,1,2.7339,93,1
1,1,2.099,109,1
1,1,1.8123,98,1
1,1,2.5506,102,1
1,1,1.1967,104.5,1
1,1,2.405,84.5,2
1,1,1.8084,82.5,2
1,1,1.2797,108.5,1
1,1,3.819,96.5,1
1,1,2.3097,89.5,2
1,1,2.1404,103,1
1,1,1.8847,77.5,2
1,1,2.8617,94,1
1,1,3.2686,86,2
1,1,5.2958,94.5,1
1,1,4.6063,74.5,2
1,1,1.5173,81,2
1,1,3.0043,85,2
1,1,1.7934,80,2
1,1,1.9555,83.5,2
1,1,2.7452,70,2
1,1,1.1051,73,2
1,1,5.5931,108,1
1,1,5.0658,92,1
1,1,3.2229,77.5,2
1,1,4.1775,106.5,1
1,1,3.4322,95,1
1,1,1.6677,82,2
1,1,1.8972,87,2
1,1,1.5816,109.5,1
1,1,1.7589,82.5,2
1,1,3.1412,100.5,1
1,1,4.3423,102,1
1,1,2.6498,90.5,1
1,1,3.4865,78,2
1,1,2.5141,91.5,1
1,1,2.5585,79.5,2
1,1,3.0162,72.5,2
1,1,1.3378,109,1
1,1,1.5273,102.5,1
1,1,3.8145,106,1
1,1,1.8012,84,2
1,1,1.6778,81,2
1,1,3.3391,96,1
1,1,1.2328,104,1
1,1,1.5163,106.5,1
1,1,4.1446,100,1
1,1,1.8252,72.5,2
1,1,3.4544,85.5,2
1,1,1.3511,107,1
1,1,1.6491,95.5,1
1,1,1.4324,87.5,2
1,1,1.7488,94.5,1
1,1,1.3347,103.5,1
1,1,2.3192,92.5,1
1,1,1.4351,70.5,2
1,1,1.9578,75.5,2
1,1,3.9655,108,1
1,1,3.6766,102.5,1
1,1,1.4425,75,2
1,1,1.3395,99,1
1,1,2.0485,97.5,1
1,1,2.4085,86,2
1,1,1.2061,107.5,1
1,1,2.3399,74,2
1,1,1.9556,98.5,1
1,1,2.1046,101,1
1,1,3.2541,77,2
1,1,1.347,76.5,2
1,1,1.4702,85.5,2
1,1,2.9816,86.5,2
1,1,3.04,100,1
1,1,2.6205,78,2
1,1,2.2736,93.5,1
1,1,1.4038,95.5,1
1,1,1.1743,103,1
1,1,2.4329,81.5,2
1,1,1.663,83,2
1,1,1.5407,76.5,2
1,1,1.7367,82,2
1,1,1.9473,88.5,2
1,1,1.3372,83,2
1,1,1.8438,98,1
1,1,2.5247,80,2
1,1,1.4841,104.5,1
1,1,1.9753,104,1
